seq,model,AssA_AUC,AssA_AUC_norm,IDF1,IDF1_norm,HOTA_AUC,HOTA_AUC_norm,MT_percent,MT_percent_norm,IDSW,IDSW_norm,Frag,Frag_norm,composite_score_raw,composite_score
Tracking1,Salmones2024,0.5369075772133383,1.0,0.5801622348622173,0.8938814678790048,0.4617614787763878,1.0,0.23611111111111108,0.9999999999999999,8.166666666666666,1.0,36.5,0.8953488372093024,0.633935483248821,1.0
Tracking1,yolo11l,0.48541038727757546,0.0,0.4473371174317591,0.0,0.35338085612155323,0.0,0.018518518518518517,0.0,1.1666666666666667,0.0,23.666666666666668,0.0,0.0,0.0
Tracking1,yolo11m,0.5299497437520689,0.864889065404375,0.5959307757672705,1.0000000000000004,0.45046172489585223,0.8957400907676787,0.14351851851851852,0.574468085106383,5.666666666666667,0.6428571428571429,31.666666666666668,0.5581395348837208,0.6244193272432351,0.9849887626469226
Tracking1,yolov8l,0.5120205003213492,0.5167294191579561,0.5328572129374862,0.5755299146927948,0.4182436743431843,0.5984724633683189,0.14814814814814814,0.5957446808510638,6.0,0.6904761904761905,28.0,0.3023255813953487,0.37480293578168367,0.591231987616274
Tracking1,yolov8m,0.5130879028427395,0.5374568126860666,0.556868422933806,0.7371196505219282,0.427624130056026,0.6850235043483668,0.10185185185185185,0.3829787234042553,4.333333333333333,0.45238095238095233,38.0,0.9999999999999998,0.3682030998251908,0.5808210922950818
Tracking1,yolov9c,0.5154365333429335,0.5830637769325353,0.5438956374038388,0.6498158875263651,0.41734574045389256,0.5901874593953167,0.10185185185185185,0.3829787234042553,5.5,0.6190476190476191,31.166666666666668,0.5232558139534882,0.37912194175759095,0.59804499318235
Tracking2,Salmones2024,0.5345837666342381,1.0,0.642824341430445,1.0,0.4885662649574929,1.0000000000000002,0.2747747747747748,1.0000000000000002,11.333333333333334,0.9999999999999999,29.0,0.954022988505747,0.6545977011494254,1.0
Tracking2,yolo11l,0.3972939540304113,0.1982824023653369,0.37311481545685954,0.1806467970608261,0.29915160959953563,0.18129951973630898,0.07207207207207207,0.23728813559322035,6.666666666666667,0.28205128205128205,20.0,0.33333333333333326,0.10394582007438125,0.20936759162168042
Tracking2,yolo11m,0.43810643671092947,0.4366109785908048,0.4117607830163122,0.2980497593263194,0.3414442442573105,0.364099526633888,0.06306306306306307,0.2033898305084746,4.833333333333333,0.0,16.833333333333332,0.11494252873563204,0.29078594151072895,0.4776348222802194
Tracking2,yolov8l,0.3912964295731934,0.16325925819752385,0.38998935572544485,0.23191012773957098,0.30442911675957113,0.20411030825925014,0.04954954954954955,0.15254237288135594,5.833333333333333,0.15384615384615374,26.0,0.7471264367816091,0.07089179676827292,0.16190823853260966
Tracking2,yolov8m,0.363339162538135,0.0,0.37757676298021003,0.1942017910174052,0.2877973398504034,0.1322233483118176,0.009009009009009009,0.0,5.5,0.10256410256410253,29.666666666666668,0.9999999999999998,-0.0418724602552863,0.0
Tracking2,yolov9c,0.3678378365329282,0.02627045692060781,0.3136506407527803,0.0,0.2572061278571095,0.0,0.018018018018018018,0.03389830508474576,5.666666666666667,0.1282051282051282,15.166666666666666,0.0,-0.00023602238982551108,0.05978208424820984
Average,Salmones2024,,,,,,,,,,,,,0.6442665921991232,1.0
Average,yolo11l,,,,,,,,,,,,,0.05197291003719062,0.0
Average,yolo11m,,,,,,,,,,,,,0.457602634376982,0.6848456037201028
Average,yolov8l,,,,,,,,,,,,,0.2228473662749783,0.28849616564214975
Average,yolov8m,,,,,,,,,,,,,0.16316531978495225,0.1877318855434992
Average,yolov9c,,,,,,,,,,,,,0.18944295968388272,0.23209778153451233
